titulo,parrafo
7 World Trade Center,"['\n\n\n', ' (', ', ', ', or ', ') refers to two buildings that have existed at the same location within the ', ' in ', ', ', '. The original structure, part of the ', ', was completed in 1987 and was destroyed in the ', ' in 2001. The current structure opened in May 2006. Both buildings were developed by ', ', who holds a ', ' for the site from the ']"
Guilden Morden boar,"['\n\n\n', 'The ', ' is a sixth- or seventh-century ', ' copper alloy figure of a ', ' that may have once served as the crest of a helmet. It was found around 1864 or 1865 in a grave in ', ', a village in the eastern English county of ', '. There the boar attended a skeleton with other objects, including a small earthenware bead with an incised pattern,', ' although the boar is all that now remains.', ' ', ', whose father originally discovered the boar, donated it to the ', ' in 1904; as of 2018 it was on view in ', '\n', 'The boar is simply designed, distinguished primarily by a prominent mane; eyes, eyebrows, nostrils and tusks are only faintly present.', ' A pin and socket design formed by the front and hind legs suggests that the boar was mounted on another object, such as a helmet.', ' Such is the case on one of the contemporary ', ' found in Sweden, where boar-crested helmets are depicted similarly.', '\n', ' are a staple of Anglo-Saxon imagery, evidence of a ', ' in which the boar invoked the protection of deities.', ' The Guilden Morden boar is one of three—together with the helmets from ', ' and ']"
Greece runestones,"['\n', 'The ', ' (', ': ', ') are about 30 ', ' containing information related to voyages made by ', ' to the ', '. They were made during the ', ' until about 1100 and were engraved in the ', ' language with ', '. All the stones have been found in modern-day ', ', the majority in ', ' (18 runestones) and ', ' (7 runestones). Most were inscribed in memory of members of the ', ' who never returned home, but a few inscriptions mention men who returned with wealth, and a ', ' was engraved on the orders of a former officer of the Guard.\n', 'On these runestones the word ', ' (""', '"") appears in three inscriptions,', ' the word ', ' (""']"
Holkham Hall,"['\n\n', ' (', ' or ', ') is an 18th-century ', ' near the village of ', ', ', ', England, constructed in the ', ' style for the ', ',', ' by the architect ', ', aided by  ']"
Heian Palace,"['The ', ' was the original imperial palace of ', ' (present-day ', '), the capital of ', ', from 794 to 1227. The palace, which served as the imperial residence and the administrative centre of for most of the ', ' (from 794 to 1185), was located at the north-central location of the city in accordance with the ', ' models used for the design of the capital.\n', 'The palace consisted of a large rectangular walled enclosure (the ', '), which contained several ceremonial and administrative buildings including the government ministries. Inside this enclosure was the separately walled ', ' of the ', ' or the ', ' (', ""). In addition to the emperor's living quarters, the Inner Palace contained the residences of the imperial consorts, as well as certain official and ceremonial buildings more closely linked to the person of the emperor.\n"", 'The original role of the palace was to manifest the centralised government model adopted by Japan from China in the 7th century — the ', "" and its subsidiary Eight Ministries. The palace was designed to provide an appropriate setting for the emperor's residence, the conduct of great affairs of state, and the accompanying ceremonies. While the residential function of the palace continued until the 12th century, the facilities built for grand state ceremonies began to fall into disuse by the 9th century. This was due to both the abandonment of several statutory ceremonies and procedures and the transfer of several remaining ceremonies into the smaller-scale setting of the Inner Palace.\n"", 'From the mid-Heian period, the palace suffered several fires and other disasters. During reconstructions, emperors and some of the office functions resided outside the palace. This, along with the general loss of political power of the court, acted to further diminish the importance of the palace as the administrative centre. Finally in 1227 the palace burned down and was never rebuilt. The site was built over so that almost no trace of it remains. Knowledge of the palace is thus based on contemporary literary sources, surviving diagrams and paintings, and limited excavations conducted mainly since the late 1970s.\n', 'The palace was located at the northern centre of the rectangular ', ', following the Chinese model (specifically that of the ', ' capital of ', ') adopted already for the ', ' in the earlier capital ']"
Harry F. Sinclair House,"['\n\n', 'The ', ' is a mansion at the southeast corner of ', ' and ', ' on the ', ' of ', ' in ', '. The house was built between 1897 and 1899. Over the first half of the 20th century, the house was successively the residence of businessmen ', ' and ', ', and then the descendants of ', ', the last ', '. The Ukrainian Institute of America acquired the home in 1955. After the house gradually fell into disrepair, the institute renovated the building in the 1990s. The house was added to the ', ' (NRHP) and was named a ', ' in 1978.\n', 'The mansion was designed in an eclectic ', ' by ', ' and built by ', ' Harvey Murdock. The building largely retains its original design, except for a ', ' on the roof. Gilbert and Murdock constructed the bulk of the house with brick, which was then faced with limestone ', '. The northern ', ' on 79th Street, containing the main entrance, is characterized by multiple windows in square recesses or semi-elliptical and fully ']"
"Hebron Church (Intermont, West Virginia)","['\n\n', ' (also historically known as ', ', ', ', and ', ') is a mid-19th-century ', ' church in ', ', ', ', in the U.S. state of ', '. Hebron Church was founded in 1786 by ', ' in the ', ' Valley, making it the first Lutheran church west of the ', '. The congregation worshiped in a ', ', which initially served both Lutheran and ', "" denominations. Its congregation was originally German-speaking; the church's documents and religious services were in German until 1821, when records and sermons transitioned to English.\n"", ""The church's congregation built the present "", '-style ', '-story church building in 1849, when it was renamed Hebron on the Cacapon. The original log church was moved across the road and subsequently used as a ', ', ', ' classroom, and public schoolhouse (attended by future West Virginia governor ', ').\n', ""To celebrate the congregation's 175th anniversary in 1961, Hebron Church constructed a brick community and religious education building designed to be architecturally compatible with the 1849 brick church. As of October 2015, the church continues to be used by the ""]"
Gevninge helmet fragment,"['\n', '\n\n', 'The ', ' is the ', ' eyepiece of a helmet from the ', ' or end of the ', '. It was found in 2000 during the ', ' of a Viking farmstead in ', ', near ', ', Denmark. The fragment is moulded from bronze and ', ', and consists of a stylised eyebrow with eyelashes above an oval opening. There are three holes at the top and bottom of the fragment to affix the eyepiece to a helmet. The fragment is significant as rare evidence of contemporaneous helmets, and also for its discovery in Gevninge, an outpost that is possibly connected to the ', ' epic ', '. It has been in the collection of the ', ' since its discovery, and has been exhibited internationally as part of a travelling exhibition on ']"
Harris Theater (Chicago),"['\n', 'The ', ' (also known as the ', ', the ', ' or, most commonly, the ', ') is a 1,499-seat ', ' for the ', ' located along the northern edge of ', ' on ', ' in the ', ' ', ' of ', ' in ', ', ', ', US. The theater, which is largely underground due to ', '-related height restrictions, was named for its primary benefactors, Joan and ', '.', "" It serves as the park's indoor performing venue, a complement to "", "", which hosts the park's outdoor performances.\n"", 'Constructed in 2002–2003, it provides a venue for small and medium-sized music and dance groups,', "" which had previously been without a permanent home and were underserved by the city's performing venue options. Among the regularly featured local groups are ""]"
Ham House,"['\n\n\n', ' is a 17th-century house set in formal gardens on the bank of the ', ' in ', ', south of ', ' in the ', '. The original house was completed in 1610 by ', ', an Elizabethan courtier and ', ' to ', '. It was then leased, and later bought, by ', ', a close friend and supporter of ', '. The ', ' saw the house and much of the estate ', "", but Murray's wife "", ' regained them on payment of a fine. During ', ' his daughter ', "", Countess of Dysart on her father's death in 1655, successfully navigated the prevailing anti-royalist sentiment and retained control of the estate.\n"", ""The house achieved its greatest period of prominence following Elizabeth's second marriage—to "", ', Duke of Lauderdale, in 1672. The Lauderdales held important roles at the court of the restored ', ', the duke being a member of the ', ' and holder of major positions in Scotland, while the Duchess exercised significant social and political influence. They began an ambitious program of development and embellishment at Ham. The house was almost doubled in size and equipped with private apartments for the Duke and Duchess, as well as princely accommodation suites for visitors. The house was furnished to the highest standards of courtly taste and decorated with ""a lavishness which transcended even what was fitting to their exalted rank"".', ' The Lauderdales accumulated notable collections of paintings, tapestries and furniture, and redesigned the gardens and grounds to reflect their status and that of their guests.\n']"
Honan Chapel,"['\n\n\n', 'The ', ' (', ': ', ',', ' formally ', ' and ', ') is a small Catholic church built in the Hiberno-', ' style on the grounds of ', ', Ireland. Designed in 1914, the building was completed in 1916 and furnished by 1917. Its architecture and fittings are representative of the ', ' movement and evoke the ', ' style prevalent in Ireland and Britain between the 7th and 12th centuries.', '\n', ""Its construction was initiated and supervised by the Dublin solicitor John O'Connell, a leading member of the Celtic Revival and "", ' movements. He was funded by Isabella Honan (1861–1913), the last member of a wealthy ', "" family, who made a significant donation towards the construction of the chapel. O'Connell oversaw both the design and the commissioning of its building and furnishings. He guided the architect James F. McMullen and the builders "", ', and the craftsmen and artists involved in its artwork.\n', 'The Honan Chapel is known for its interior which is designed and fitted in a traditional Irish style, but with an appreciation of contemporary trends in international art.', ' Its furnishings include a mosaic flooring, altar plate, metalwork and enamels, liturgical textiles and sanctuary furnishings, and especially its nineteen ', ' windows. Of these, fifteen depict Irish saints, the remainder show ', ',  ']"
